mul,capacitance_fF,frequency_Hz
1,3.505,2317110000
2,7.010,1885950000
3,10.515,1624650000
4,14.020,1455870000
5,17.525,1337240000
6,21.030,1249470000
7,24.535,1182030000
8,28.040,1126980000
9,31.545,1082040000
10,35.050,1042830000
11,38.555,1009200000
12,42.060,980587000
13,45.565,953602000
14,49.070,931544000
15,52.575,909897000
16,56.080,891149000
17,59.585,873020000
18,63.090,857206000
19,66.595,842057000
20,70.100,827732000
